,word,1501-1550,1551-1600,1601-1650,1651-1700,Medicine,Astronomy/Astrology/Cosmography,Biology,Mathematics,Meteorology/Earth sciences,Physics,Geography/Cartography,Alchemy/Chemistry,EMLAP,mean,in_lila_embeddings,in_lasla,in_operamaiora,1501-1550_freq,1551-1600_freq,1601-1650_freq,1651-1700_freq,Medicine_freq,Astronomy/Astrology/Cosmography_freq,Biology_freq,Mathematics_freq,Meteorology/Earth sciences_freq,Physics_freq,Geography/Cartography_freq,Alchemy/Chemistry_freq,EMLAP_freq,mean_freq
2913,dico,43255,122549,42457,72224,107036,81298,76957,52414,44323,47600,39787,12754,14098,58211.692308,True,True,True,0.003385,0.003416,0.002368,0.002654,0.002901,0.002718,0.003069,0.002645,0.002988,0.002912,0.002816,0.002063,0.004034,0.002921
2835,liber,39559,65900,38496,53100,97802,65756,65230,49280,50603,50798,46481,29327,4593,50532.692308,True,True,True,0.003096,0.001837,0.002147,0.001951,0.002651,0.002199,0.002602,0.002487,0.003411,0.003108,0.00329,0.004743,0.001314,0.00268
6447,possum,25029,82700,38391,76841,81305,74924,50255,50826,41844,58081,27901,14528,14367,48999.384615,True,True,True,0.001959,0.002305,0.002141,0.002824,0.002204,0.002505,0.002004,0.002565,0.002821,0.003553,0.001975,0.00235,0.00411,0.002563
7784,facio,31814,98524,36944,51438,96530,62963,42272,45704,32760,40653,23879,11693,16068,45480.153846,True,True,True,0.002489,0.002746,0.00206,0.00189,0.002616,0.002105,0.001686,0.002307,0.002209,0.002487,0.00169,0.001891,0.004597,0.002367
5339,habeo,31690,89199,39443,59770,81643,63141,61273,48571,33185,38497,32771,10723,9810,46132.0,True,True,True,0.00248,0.002486,0.002199,0.002196,0.002213,0.002111,0.002444,0.002451,0.002237,0.002355,0.00232,0.001734,0.002807,0.00231
5187,pars,33225,93059,44337,52385,95410,65986,42118,53361,31827,40475,27720,11720,8377,46153.846154,True,True,True,0.0026,0.002594,0.002472,0.001925,0.002586,0.002206,0.00168,0.002693,0.002146,0.002476,0.001962,0.001895,0.002397,0.002279
220,res,29069,70669,28291,51565,74400,62681,42267,36572,40633,44153,29452,13842,8935,40963.769231,True,True,True,0.002275,0.00197,0.001578,0.001895,0.002016,0.002096,0.001686,0.001846,0.002739,0.002701,0.002085,0.002239,0.002556,0.002129
5932,uideo,21536,59099,26372,50503,61322,53447,47212,28471,28146,36674,20706,9607,6047,34549.384615,True,True,True,0.001685,0.001647,0.001471,0.001856,0.001662,0.001787,0.001883,0.001437,0.001897,0.002244,0.001466,0.001554,0.00173,0.001717
2804,locus,23102,56782,31421,43680,50814,57201,40768,31263,25466,27829,31499,7668,3810,33177.153846,True,True,True,0.001808,0.001583,0.001752,0.001605,0.001377,0.001913,0.001626,0.001578,0.001717,0.001703,0.00223,0.00124,0.00109,0.001632
3911,aqua,11747,41231,20765,34038,42778,18714,30884,14948,28253,23495,16391,12155,20126,24271.153846,True,True,True,0.000919,0.001149,0.001158,0.001251,0.001159,0.000626,0.001232,0.000754,0.001905,0.001437,0.00116,0.001966,0.005758,0.001575
